folder,file,duration,rms,zcr,clipping_ratio,speech_len,silence_len,speech_ratio,num_segments,mean_segment_len
대출 사기형,50.mp3,82.6863125,0.13395871,0.09206217951818886,0.0,72.2683125,10.418000000000006,0.8740057491377426,21,3.441348214285714
대출 사기형,51.mp3,155.5273125,0.14070612,0.095062764381043,0.0,120.24,35.2873125,0.7731117966820137,44,2.7327272727272724
대출 사기형,52.mp3,78.8114375,0.046909925,0.08902261279435647,0.0,69.816,8.995437499999994,0.8858612685500122,18,3.8786666666666667
대출 사기형,53.mp3,386.5890625,0.03755685,0.11331018877783296,0.0,329.2,57.38906250000002,0.8515502168403949,60,5.486666666666666
대출 사기형,54.mp3,310.8571875,0.13101609,0.14085564566713846,0.003541819344292948,264.8831875,45.97399999999999,0.8521057197688248,86,3.0800370639534886
대출 사기형,55.mp3,241.9055,0.12702334,0.09606449187748016,3.6171149477791947e-06,238.356,3.5494999999999948,0.9853269148489803,11,21.66872727272727
대출 사기형,56.mp3,118.8861875,0.08914374,0.11347164815157428,0.0,98.948,19.938187500000012,0.8322918084996206,31,3.1918709677419352
대출 사기형,57.mp3,44.1991875,0.25160012,0.0694292126447178,0.0,39.252,4.947187499999998,0.8880706234701713,11,3.5683636363636366
대출 사기형,58.mp3,34.9460625,0.03844656,0.09379690716491308,0.0,27.9240625,7.021999999999995,0.7990617684038082,12,2.3270052083333335
대출 사기형,59.mp3,24.6335,0.06359553,0.09700753348214286,0.0,21.4035,3.2300000000000004,0.8688777477824913,8,2.6754375
대출 사기형,6.mp3,40.707,0.08777584,0.13370812978692065,0.0,31.028,9.679000000000002,0.7622276266981108,11,2.8207272727272725
대출 사기형,60.mp3,89.2343125,0.109839536,0.21863812774515956,2.8016128885399324e-06,69.8,19.434312500000004,0.782210318480349,14,4.985714285714286
대출 사기형,61.mp3,22.4914375,0.028273404,0.18371252111486486,0.0,18.18,4.3114375,0.8083076059500421,7,2.597142857142857
대출 사기형,62.mp3,146.8604375,0.1292534,0.13481509140114378,0.0,141.36,5.500437499999975,0.9625464992912065,20,7.0680000000000005
대출 사기형,63.mp3,50.547,0.05449234,0.0977851191653481,0.0,34.2,16.346999999999994,0.6765980176865097,18,1.9000000000000001
대출 사기형,64.mp3,98.899625,0.021228574,0.12223933900841152,0.0,83.016,15.883624999999995,0.8393965093396462,22,3.7734545454545456
대출 사기형,65.mp3,101.124,0.035408054,0.15481404223347042,0.0,85.188,15.935999999999993,0.8424112970214787,15,5.6792
대출 사기형,66.mp3,888.2678125,0.09147457,0.11601343680202818,9.147016120208679e-07,836.312,51.95581249999998,0.941508842526026,98,8.533795918367346
대출 사기형,67.mp3,405.5510625,0.09607102,0.11698184706387092,0.0,289.736,115.81506250000001,0.7144254491997539,102,2.840549019607843
대출 사기형,68.mp3,42.1878125,0.035310786,0.1020163535348749,0.0,36.984,5.203812499999998,0.8766512840645625,10,3.6984000000000004
대출 사기형,69.mp3,105.11675,0.14703353,0.10005202387747336,1.7837309467806035e-06,94.10275,11.013999999999996,0.8952212658781783,26,3.6193365384615386
대출 사기형,7.mp3,556.9770625,0.15104821,0.11763474048998908,5.947282613635459e-06,392.6910625,164.286,0.7050399180486898,168,2.337446800595238
대출 사기형,70.mp3,123.062875,0.08823551,0.08742049877307592,0.0,114.708,8.354875000000007,0.9321088914914428,19,6.037263157894737
대출 사기형,71.mp3,90.227,0.089225136,0.12742530335771277,0.0,57.276,32.951,0.6347988961175701,25,2.29104
대출 사기형,72.mp3,202.1878125,0.111987844,0.13868756119935907,0.0,121.764,80.42381250000001,0.602232144927133,71,1.7149859154929576
대출 사기형,73.mp3,243.0694375,0.048836313,0.09564983574825565,0.0,188.812,54.25743749999998,0.7767821489281227,37,5.103027027027028
대출 사기형,74.mp3,273.8416875,0.052378714,0.0845412370004674,0.0,232.196,41.64568749999998,0.8479205708955472,63,3.6856507936507934
대출 사기형,75.mp3,207.7025,0.0762991,0.11725783476640733,0.0,149.0325,58.66999999999999,0.7175286768334518,76,1.960953947368421
대출 사기형,76.mp3,450.1420625,0.050090723,0.08124854907540698,0.0,381.084,69.0580625,0.8465860708140333,121,3.1494545454545455
